c_oficina,d_CP,d_ciudad
24401,24401,Sabancuy
24401,24401,Champot�n
24401,24401,
24571,24571,
24801,24801,Tenabo
24801,24801,
24801,24801,Hecelchak�n
24801,24801,Pomuch
24901,24901,Calkini
24901,24901,
24901,24901,B�cal
25001,25001,Saltillo
25001,25001,
25001,25001,Arteaga
25501,25501,San Buenaventura
25501,25501,
25501,25501,Nadadores
25601,25601,Frontera
25601,25601,
25701,25701,
25701,25701,Monclova
25871,25871,Casta�os
25871,25871,
25901,25901,Ramos Arizpe
25901,25901,
26001,26001,Piedras Negras
26001,26001,
26201,26201,Ciudad Acu�a
26201,26201,
26341,26341,Ciudad Melchor M�zquiz
26341,26341,
26531,26531,Nava
26531,26531,
26531,26531,Zaragoza
26531,26531,Morelos
26531,26531,Allende
26701,26701,
26701,26701,Sabinas
26801,26801,Nueva Rosita
26801,26801,
27001,27001,Torre�n
27001,27001,
27271,27271,Torre�n
27271,27271,
27271,27271,Matamoros
27271,27271,Viesca
27641,27641,
27641,27641,Cuatro Ci�negas de Carranza
27801,27801,San Pedro
27801,27801,
27901,27901,
27901,27901,Francisco I. Madero (Ch�vez)
27981,27981,Parras de la Fuente
27981,27981,
28001,28001,Colima
28001,28001,
28101,28101,Tecom�n
28101,28101,
28201,28201,Manzanillo
28201,28201,
28301,28301,Ciudad de Armer�a
28301,28301,
28401,28401,
28451,28451,
28501,28501,
28511,28511,
28706,28706,
28751,28751,
28861,28861,
28861,28861,Manzanillo
28901,28901,
28971,28971,
28971,28971,Ciudad de Villa de �lvarez
29002,29002,Tuxtla Guti�rrez
29002,29002,
29041,29041,Tuxtla Guti�rrez
29041,29041,Chiapa de Corzo
29052,29052,Tuxtla Guti�rrez
29052,29052,
29121,29121,
29131,29131,
29141,29141,Ocozocoautla de Espinosa
29141,29141,
29161,29161,Chiapa de Corzo
29161,29161,
29201,29201,San Crist�bal de las Casas
29201,29201,
29371,29371,Acala
29371,29371,
29501,29501,Reforma
29501,29501,
29521,29521,
29521,29521,Pichucalco
29602,29602,
29611,29611,
29621,29621,
29731,29731,
29771,29771,
29821,29821,
29901,29901,
29931,29931,
29951,29951,
29951,29951,Ocosingo
29961,29961,
29961,29961,Palenque
29981,29981,
30001,30001,Comit�n de Dom�nguez
30001,30001,
30141,30141,
30161,30161,
30186,30186,
30186,30186,Las Margaritas
30201,30201,Venustiano Carranza
30201,30201,
30351,30351,
30351,30351,Las Rosas
30361,30361,
30401,30401,Cintalapa de Figueroa
30401,30401,
30401,30401,Jiquipilas
30451,30451,Arriaga
30451,30451,
30477,30477,
30477,30477,Villaflores
30501,30501,Tonal�
30501,30501,
30521,30521,
30531,30531,
30541,30541,Pijijiapan
30541,30541,
30561,30561,
30561,30561,Mapastepec
30581,30581,
30591,30591,
30602,30602,
30621,30621,
30641,30641,Huixtla
30641,30641,
30652,30652,
30661,30661,
30681,30681,
30701,30701,Tapachula de C�rdova y Ord��ez
30701,30701,
30831,30831,
30831,30831,Puerto Madero (San Benito)
30842,30842,
30872,30872,
30882,30882,
30891,30891,
30891,30891,Cacahoat�n
30901,30901,Motozintla de Mendoza
30901,30901,
31001,31001,Chihuahua
31001,31001,
31052,31052,Chihuahua
31052,31052,
31102,31102,Chihuahua
31132,31132,Chihuahua
31501,31501,Cuauht�moc
31501,31501,
31501,31501,Bach�niva
31601,31601,Colonia An�huac
31616,31616,
31651,31651,
31682,31682,
31692,31692,
31701,31701,Nuevo Casas Grandes
31701,31701,
31824,31824,
31833,31833,
31892,31892,
31903,31903,
31941,31941,Madera
31941,31941,
31968,31968,
31971,31971,
31981,31981,
32121,32121,Ju�rez
32121,32121,
32551,32551,Ju�rez
32551,32551,
32657,32657,Ju�rez
32657,32657,
32744,32744,
32801,32801,
32881,32881,
32881,32881,Manuel Ojinaga
32911,32911,Juan Aldama
32911,32911,
33001,33001,Delicias
33001,33001,
33134,33134,
33181,33181,
33204,33204,
33212,33212,
33362,33362,
33381,33381,
33434,33434,
33472,33472,
33501,33501,
33562,33562,
33581,33581,
33629,33629,Saucillo
33629,33629,
33701,33701,
33701,33701,Santa Rosal�a de Camargo
33801,33801,
33801,33801,Hidalgo del Parral
33921,33921,
33981,33981,
33981,33981,Jos� Mariano Jim�nez
34132,34132,Victoria de Durango
34132,34132,
34222,34222,Victoria de Durango
34222,34222,
34271,34271,Victoria de Durango
34271,34271,
34411,34411,
34451,34451,
34451,34451,Canatl�n
34481,34481,
34481,34481,San Juan del R�o del Centauro del Norte
34581,34581,
34631,34631,
34631,34631,Santiago Papasquiaro
34691,34691,
34702,34702,
34761,34761,
34761,34761,Pe��n Blanco
34781,34781,
34781,34781,Francisco I. Madero
34801,34801,
34841,34841,Nombre de Dios
34841,34841,
34891,34891,
34891,34891,Vicente Guerrero
34901,34901,
34941,34941,El Salto
34941,34941,
34971,34971,
35001,35001,
35001,35001,G�mez Palacio
35151,35151,Ciudad Lerdo
35151,35151,
35231,35231,
35251,35251,
35507,35507,
35601,35601,
35691,35691,
35691,35691,Santa Mar�a del Oro
35701,35701,
35741,35741,
35761,35761,
35801,35801,
36001,36001,Guanajuato
36001,36001,
36101,36101,Silao
36101,36101,
36201,36201,Romita
36201,36201,
36251,36251,
36251,36251,Marfil
36301,36301,San Francisco del Rinc�n
36301,36301,
36301,36301,Pur�sima de Bustos
36301,36301,Ciudad Manuel Doblado
36501,36501,
36501,36501,Irapuato
36701,36701,Salamanca
36701,36701,
36901,36901,P�njamo
36901,36901,
36911,36911,
36961,36961,Cuer�maro
36961,36961,
36971,36971,Abasolo
36971,36971,
36991,36991,Huan�maro
36991,36991,
37001,37001,Le�n de los Aldama
37001,37001,
37161,37161,Le�n de los Aldama
37161,37161,
37331,37331,Le�n de los Aldama
37331,37331,
37371,37371,Le�n de los Aldama
37371,37371,
37607,37607,
37636,37636,
37701,37701,San Miguel de Allende
37701,37701,
37801,37801,Dolores Hidalgo Cuna de la Independencia Nacional
37801,37801,
37851,37851,San Diego de la Uni�n
37851,37851,
37901,37901,San Luis de la Paz
37901,37901,
37961,37961,Doctor Mora
37961,37961,
37981,37981,
37981,37981,San Jos� Iturbide
38001,38001,Celaya
38001,38001,
38151,38151,
38151,38151,Rinc�n de Tamayo
38161,38161,Apaseo el Grande
38161,38161,
38201,38201,Comonfort
38201,38201,
38201,38201,Empalme Escobedo
38242,38242,Santa Cruz Juventino Rosas
38242,38242,
38261,38261,Villagr�n
38261,38261,
38301,38301,Cortazar
38301,38301,
38401,38401,Valle de Santiago
38401,38401,
38471,38471,Jaral del Progreso
38471,38471,
38501,38501,
38501,38501,Apaseo el Alto
38541,38541,Jer�cuaro
38541,38541,
38601,38601,Ac�mbaro
38601,38601,
38707,38707,
38791,38791,
38791,38791,Tarandacuao
38801,38801,Morole�n
38801,38801,
38901,38901,
38901,38901,Salvatierra
38941,38941,Yuriria
38941,38941,
38962,38962,
38971,38971,Santiago Maravat�o
38971,38971,
38981,38981,Uriangato
38981,38981,
39001,39001,Chilpancingo de los Bravo
39001,39001,
39121,39121,
39121,39121,Ocotito
39139,39139,
39171,39171,Tixtla de Guerrero
39171,39171,
39201,39201,Ayutla de los Libres
39201,39201,
39276,39276,
39559,39559,Acapulco de Ju�rez
39559,39559,
39791,39791,Acapulco de Ju�rez
39791,39791,
39913,39913,
39943,39943,Tierra Colorada
39943,39943,
39961,39961,San Marcos
39961,39961,
40001,40001,Iguala de la Independencia
40001,40001,
40131,40131,Huitzuco
40131,40131,
40161,40161,
40183,40183,Zumpango del R�o
40183,40183,
40201,40201,Taxco de Alarc�n
40201,40201,
40332,40332,Buenavista de Cu�llar
40332,40332,
40401,40401,Teloloapan
40401,40401,
40501,40501,Arcelia
40501,40501,
40536,40536,
40536,40536,Ciudad Apaxtla de Castrej�n
40601,40601,Tlapehuala
40601,40601,
40637,40637,
40637,40637,Cutzamala de Pinz�n
40666,40666,Ciudad Altamirano
40666,40666,
40685,40685,
40707,40707,
40707,40707,Coyuca de Catal�n
40738,40738,
40763,40763,
40801,40801,La Uni�n
40801,40801,
40851,40851,
40851,40851,Petatl�n
40891,40891,
40891,40891,Zihuatanejo
40901,40901,T�cpan de Galeana
40901,40901,
40901,40901,San Luis San Pedro
40901,40901,San Luis de la Loma
40931,40931,Atoyac de �lvarez
40931,40931,
40965,40965,San Jer�nimo de Ju�rez
40971,40971,Coyuca de Ben�tez
40971,40971,
41001,41001,Olinal�
41001,41001,
41101,41101,Chilapa de �lvarez
41101,41101,
41201,41201,Huamuxtitl�n
41201,41201,
41301,41301,
41301,41301,Tlapa de Comonfort
41351,41351,
41601,41601,
41601,41601,San Luis Acatl�n
41706,41706,
41849,41849,Cruz Grande
41849,41849,
41871,41871,Copala
41871,41871,
41901,41901,Azoy�
41901,41901,
41931,41931,
41931,41931,Marquelia
41941,41941,Cuajinicuilapa
41941,41941,
42001,42001,Pachuca de Soto
42001,42001,
42091,42091,Pachuca de Soto
42091,42091,
42131,42131,
42202,42202,
42281,42281,
42301,42301,Ixmiquilpan
42301,42301,
42331,42331,Zimap�n
42331,42331,
42401,42401,
42501,42501,Actopan
42501,42501,
42701,42701,
42731,42731,
42781,42781,
42801,42801,Tula de Allende
42801,42801,
42841,42841,San Miguel Vindho
42851,42851,Tepeji del R�o de Ocampo
42851,42851,
42951,42951,
42951,42951,Tlaxcoapan
43007,43007,Huejutla de Reyes
43007,43007,
43207,43207,
43303,43303,
43601,43601,
43601,43601,Tulancingo
43601,43601,Santiago Tulantepec
43741,43741,
43801,43801,Tizayuca
43801,43801,
43901,43901,Apan
43901,43901,
43992,43992,
43992,43992,Tepeapulco
43992,43992,Fray Bernardino de Sahag�n (Ciudad Sahag�n)
44101,44101,Guadalajara
44241,44241,Guadalajara
44291,44291,Guadalajara
44308,44308,Guadalajara
44381,44381,Guadalajara
44534,44534,Guadalajara
44534,44534,Zapopan
44721,44721,Guadalajara
44731,44731,Guadalajara
44761,44761,Guadalajara
44921,44921,Guadalajara
44943,44943,Guadalajara
44981,44981,Guadalajara
44981,44981,Tlaquepaque
45011,45011,Zapopan
45011,45011,
45042,45042,Guadalajara
45042,45042,Zapopan
45082,45082,Zapopan
45082,45082,
45082,45082,Tlajomulco de Z��iga
45101,45101,Zapopan
45101,45101,
45131,45131,Zapopan
45182,45182,Zapopan
45182,45182,
45202,45202,
45261,45261,
45301,45301,Tala
45301,45301,
45351,45351,
45401,45401,Tonal�
45401,45401,
45409,45409,Tonal�
45411,45411,Tonal�
45431,45431,
45471,45471,
45481,45481,
45501,45501,Guadalajara
45501,45501,Tlaquepaque
45591,45591,Guadalajara
45591,45591,Tlaquepaque
45603,45603,Tlaquepaque
45603,45603,Tlajomulco de Z��iga
45603,45603,
45642,45642,
45642,45642,Tlajomulco de Z��iga
45648,45648,Tlajomulco de Z��iga
45648,45648,
45648,45648,Las Pintitas
45648,45648,San Jos� el Verde (El Verde)
45648,45648,El Quince (San Jos� el Quince)
45681,45681,Tonal�
45681,45681,Tlajomulco de Z��iga
45681,45681,El Salto
45681,45681,
45701,45701,Acatl�n de Ju�rez
45701,45701,
45731,45731,Villa Corona
45731,45731,
45751,45751,Zacoalco de Torres
45751,45751,
45801,45801,Jocotepec
45801,45801,
45851,45851,Tlajomulco de Z��iga
45851,45851,
45901,45901,Chapala
45901,45901,Ajijic
45901,45901,
45931,45931,
45951,45951,Poncitl�n
45951,45951,
46171,46171,
46201,46201,Huejuquilla el Alto
46201,46201,
46201,46201,Colotl�n
46241,46241,
46261,46261,
46401,46401,Tequila
46401,46401,
46441,46441,
46471,46471,
46471,46471,Magdalena
46501,46501,Etzatl�n
46501,46501,
46561,46561,
46601,46601,Ameca
46601,46601,
46731,46731,Ahualulco de Mercado
46731,46731,
46761,46761,
46771,46771,
46801,46801,
46901,46901,
47001,47001,San Juan de los Lagos
47001,47001,
47121,47121,Jalostotitl�n
47121,47121,
47141,47141,San Miguel el Alto
47141,47141,
47171,47171,San Juli�n
47171,47171,
47171,47171,Uni�n de San Antonio
47181,47181,Arandas
47181,47181,
47181,47181,San Ignacio Cerro Gordo
47201,47201,Teocaltiche
47201,47201,
47251,47251,Villa Hidalgo
47251,47251,
47271,47271,
47301,47301,Yahualica de Gonz�lez Gallo
47301,47301,
47341,47341,
47361,47361,
47381,47381,Valle de Guadalupe
47381,47381,
47401,47401,Lagos de Moreno
47401,47401,
47541,47541,
47591,47591,San Diego de Alejandr�a
47591,47591,
47601,47601,Tepatitl�n de Morelos
47601,47601,
47701,47701,
47721,47721,
47722,47722,
47731,47731,Tototl�n
47731,47731,
47751,47751,
47751,47751,Atotonilco el Alto
47801,47801,
47801,47801,Ocotl�n
47901,47901,Jamay
47901,47901,
47911,47911,La Barca
47911,47911,
47931,47931,
47951,47951,
47981,47981,
48001,48001,
48051,48051,
48101,48101,
48201,48201,Talpa de Allende
48201,48201,
48281,48281,
48281,48281,Puerto Vallarta
48293,48293,Puerto Vallarta
48351,48351,
48351,48351,Puerto Vallarta
48402,48402,
48452,48452,
48501,48501,
48501,48501,Cocula
48541,48541,
48701,48701,
48741,48741,El Grullo
48741,48741,
48761,48761,
48851,48851,
48901,48901,Autl�n de Navarro
48901,48901,
48931,48931,Villa Purificaci�n
48931,48931,
48931,48931,La Resolana
48971,48971,
48971,48971,Cihuatl�n
48982,48982,
49001,49001,Ciudad Guzm�n
49001,49001,
49121,49121,
49201,49201,
49251,49251,
49301,49301,Sayula
49331,49331,
49341,49341,
49371,49371,
49401,49401,
49441,49441,
49501,49501,
49541,49541,
49601,49601,Zapotiltic
49601,49601,
49651,49651,
49651,49651,Tamazula de Gordiano
49701,49701,
49801,49801,Tuxpan
49801,49801,
49871,49871,
49901,49901,
49901,49901,Tecalitl�n
50091,50091,Toluca de Lerdo
50091,50091,
50301,50301,
50361,50361,
50401,50401,
50451,50451,
50602,50602,
50641,50641,
50701,50701,
50741,50741,
50801,50801,
50851,50851,
50901,50901,Almoloya de Ju�rez
50901,50901,
50961,50961,
51001,51001,
51031,51031,
51111,51111,
51131,51131,
51201,51201,
51231,51231,
51301,51301,
51351,51351,
51411,51411,Tejupilco de Hidalgo
51411,51411,
51431,51431,
51441,51441,
51501,51501,Amatepec
51501,51501,
51571,51571,
51581,51581,
51601,51601,
51701,51701,
51761,51761,
51801,51801,
51901,51901,
51951,51951,
52001,52001,
52061,52061,
52061,52061,Xonacatl�n
52081,52081,
52101,52101,San Mateo Atenco
52101,52101,
52141,52141,Toluca de Lerdo
52141,52141,Metepec
52141,52141,
52201,52201,
52241,52241,
52281,52281,
52301,52301,
52401,52401,
52441,52441,
52541,52541,
52601,52601,
52681,52681,
52701,52701,
52701,52701,Capulhuac
52741,52741,Ocoyoacac
52741,52741,
52761,52761,Huixquilucan de Degollado
52762,52762,Huixquilucan de Degollado
52901,52901,Ciudad Adolfo L�pez Mateos
53001,53001,Ciudad de M�xico
53001,53001,Naucalpan de Ju�rez
53001,53001,
53101,53101,Naucalpan de Ju�rez
53121,53121,Naucalpan de Ju�rez
53121,53121,
53311,53311,Naucalpan de Ju�rez
53681,53681,Naucalpan de Ju�rez
53681,53681,
53831,53831,Huixquilucan de Degollado
53831,53831,Naucalpan de Ju�rez
54001,54001,Tlalnepantla de Baz
54182,54182,Tlalnepantla de Baz
54201,54201,
54241,54241,
54301,54301,
54401,54401,Ciudad Nicol�s Romero
54401,54401,
54481,54481,
54572,54572,
54601,54601,Tepotzotl�n
54601,54601,Cuautitl�n
54661,54661,
54681,54681,
54701,54701,Cuautitl�n Izcalli
54761,54761,Cuautitl�n Izcalli
54771,54771,
54801,54801,Cuautitl�n Izcalli
54801,54801,Cuautitl�n
54801,54801,
54881,54881,Melchor Ocampo
54881,54881,
54901,54901,Tultitl�n de Mariano Escobedo
54931,54931,Tultitl�n de Mariano Escobedo
54931,54931,
54969,54969,Santa Maria Tultepec
54969,54969,
54981,54981,Santa Maria Tultepec
55031,55031,Ecatepec de Morelos
55081,55081,Ecatepec de Morelos
55121,55121,Ecatepec de Morelos
55271,55271,Ecatepec de Morelos
55601,55601,Zumpango
55601,55601,
55601,55601,Tec�mac de Felipe Villanueva
55641,55641,Zumpango
55651,55651,Tequixquiac
55651,55651,
55671,55671,
55701,55701,Ecatepec de Morelos
55701,55701,Coacalco de Berriozabal
55711,55711,Coacalco de Berriozabal
55762,55762,Tec�mac de Felipe Villanueva
55762,55762,
55801,55801,
55851,55851,
55871,55871,
55901,55901,
55941,55941,
55981,55981,
56001,56001,
56031,56031,
56071,56071,
56101,56101,Texcoco de Mora
56101,56101,
56271,56271,
56271,56271,Chiconcuac
56301,56301,
56331,56331,Chimalhuac�n
56351,56351,Chimalhuac�n
56371,56371,Chicoloapan de Ju�rez
56371,56371,
56401,56401,Los Reyes Acaquilpan (La Paz)
56571,56571,Ixtapaluca
56571,56571,
56601,56601,Chalco de D�az Covarrubias
56612,56612,Valle de Chalco Solidaridad
56651,56651,
56681,56681,
56701,56701,
56741,56741,
56781,56781,
56861,56861,Juchitepec de Mariano Rivapalacio
56861,56861,
56881,56881,
56901,56901,
56971,56971,
56992,56992,
57001,57001,Ciudad Nezahualc�yotl
57002,57002,Ciudad Nezahualc�yotl
57741,57741,Ciudad Nezahualc�yotl
58011,58011,Morelia
58011,58011,
58111,58111,Morelia
58111,58111,
58241,58241,Morelia
58241,58241,
58361,58361,
58405,58405,
58421,58421,
58461,58461,
58482,58482,
58501,58501,Puru�ndiro
58501,58501,
58541,58541,
58553,58553,
58572,58572,
58601,58601,Zacapu
58601,58601,
58747,58747,
58761,58761,
58784,58784,
58802,58802,
58821,58821,
58841,58841,Cuitzeo del Porvenir
58841,58841,
58882,58882,
58901,58901,
58922,58922,
58934,58934,Zinap�cuaro de Figueroa
58934,58934,
58971,58971,
58982,58982,
59001,59001,Sahuayo de Morelos
59001,59001,
59123,59123,
59141,59141,
59166,59166,
59181,59181,
59202,59202,
59232,59232,
59251,59251,Yur�cuaro
59251,59251,
59282,59282,
59301,59301,
59301,59301,La Piedad de Cabadas
59441,59441,
59477,59477,
59501,59501,
59511,59511,Jiquilpan de Ju�rez
59511,59511,
59555,59555,
59581,59581,
59691,59691,Zamora de Hidalgo
59691,59691,
59733,59733,
59751,59751,Tanganc�cuaro de Arista
59751,59751,
59781,59781,
59801,59801,Jacona de Plancarte
59801,59801,
59924,59924,
59941,59941,Cotija de la Paz
59941,59941,
59962,59962,
59982,59982,
60053,60053,Uruapan
60053,60053,
60253,60253,
60253,60253,Paracho de Verduzco
60272,60272,
60381,60381,Los Reyes de Salgado
60381,60381,
60444,60444,
60463,60463,
60491,60491,
60502,60502,
60541,60541,
60572,60572,
60601,60601,
60601,60601,Apatzing�n de la Constituci�n
60841,60841,
60922,60922,
60951,60951,Ciudad L�zaro C�rdenas
60951,60951,
60951,60951,Las Guacamayas
60984,60984,
60991,60991,
60991,60991,Las Guacamayas
61101,61101,Ciudad Hidalgo
61101,61101,
61251,61251,
61251,61251,Maravat�o de Ocampo
61421,61421,Tuxpan
61421,61421,
61476,61476,
61501,61501,
61501,61501,Her�ica Zit�cuaro
61601,61601,
61601,61601,P�tzcuaro
61635,61635,
61651,61651,Tac�mbaro de Codallos
61651,61651,
61704,61704,
61715,61715,
61733,61733,
61761,61761,Nueva Italia de Ruiz
61761,61761,
61808,61808,
61831,61831,
61853,61853,
61941,61941,
61941,61941,Huetamo de N��ez
62001,62001,Cuernavaca
62241,62241,Cuernavaca
62241,62241,
62511,62511,
62521,62521,
62541,62541,
62571,62571,Jiutepec
62571,62571,
62581,62581,Temixco
62581,62581,
62601,62601,
62611,62611,
62621,62621,
62641,62641,
62661,62661,Puente de Ixtla
62661,62661,
62702,62702,
62726,62726,
62731,62731,Yautepec de Zaragoza
62731,62731,
62741,62741,Cuautla
62741,62741,
62761,62761,
62771,62771,
62771,62771,Santa Rosa Treinta
62781,62781,Zacatepec de Hidalgo
62781,62781,Galeana
62791,62791,
62801,62801,
62821,62821,
62831,62831,
62848,62848,
62851,62851,
62891,62891,
62901,62901,Jojutla
62901,62901,
62911,62911,
62921,62921,
62931,62931,
62951,62951,
62971,62971,
62981,62981,Tlaquiltenango
62981,62981,
63001,63001,Tepic
63001,63001,
63001,63001,Francisco I. Madero (Puga)
63151,63151,Xalisco
63151,63151,
63201,63201,Tuxpan
63201,63201,
63301,63301,Santiago Ixcuintla
63301,63301,
63431,63431,
63431,63431,Acaponeta
63451,63451,
63451,63451,Tecuala
63551,63551,Villa Hidalgo (El Nuevo)
63551,63551,
63621,63621,
63621,63621,Ru�z
63632,63632,
63701,63701,Compostela
63701,63701,
63701,63701,San Pedro Lagunillas
63716,63716,
63716,63716,Las Varas
63721,63721,La Pe�ita de Jaltemba
63721,63721,
63731,63731,
63733,63733,
63733,63733,Bucer�as
63741,63741,San Blas
63741,63741,
63891,63891,
63891,63891,Jala
63901,63901,
63901,63901,Ahuacatl�n
63941,63941,
63941,63941,Ixtl�n del R�o
63961,63961,
64008,64008,Monterrey
64291,64291,Monterrey
64361,64361,Monterrey
64821,64821,Monterrey
64821,64821,Guadalupe
65031,65031,
65031,65031,An�huac
65151,65151,
65251,65251,Ciudad Sabinas Hidalgo
65251,65251,
65551,65551,
65551,65551,Ci�nega de Flores
65601,65601,
65751,65751,
66001,66001,Garc�a
66001,66001,
66066,66066,Ciudad General Escobedo
66066,66066,
66252,66252,San Pedro Garza Garc�a
66351,66351,Ciudad Santa Catarina
66351,66351,
66451,66451,Monterrey
66451,66451,San Nicol�s de los Garza
66491,66491,Monterrey
66491,66491,San Nicol�s de los Garza
66551,66551,
66601,66601,
66601,66601,Ciudad Apodaca
66801,66801,
67051,67051,
67121,67121,Monterrey
67121,67121,Guadalupe
67181,67181,Guadalupe
67251,67251,Guadalupe
67251,67251,Ciudad Benito Ju�rez
67321,67321,
67321,67321,Santiago
67321,67321,El cercado
67351,67351,
67481,67481,
67481,67481,Cadereyta Jim�nez
67501,67501,
67501,67501,Montemorelos
67701,67701,Linares
67701,67701,
67701,67701,Hualahuises
67851,67851,
67901,67901,Doctor Arroyo
67901,67901,
68001,68001,
68005,68005,Oaxaca de Ju�rez
68005,68005,
68005,68005,Santa Luc�a del Camino
68005,68005,San Antonio de la Cal
68005,68005,El Rosario
68081,68081,
68091,68091,
68131,68131,
68202,68202,
68202,68202,Santiago Suchilquitongo
68215,68215,
68215,68215,San Francisco Telixtlahuaca
68221,68221,San Pablo Huitzo
68221,68221,
68298,68298,
68301,68301,San Juan Bautista Tuxtepec
68301,68301,
68301,68301,San Felipe Jalapa de D�az
68401,68401,Loma Bonita
68414,68414,
68414,68414,Cosolapa
68414,68414,Vicente Camalote
68414,68414,Tezonapa
68431,68431,
68481,68481,San Juan Bautista Valle Nacional
68481,68481,
68507,68507,
68541,68541,
68541,68541,Teotitl�n de Flores Mag�n
68608,68608,
68608,68608,San Juan Bautista Cuicatl�n
68729,68729,Natividad
68729,68729,
68802,68802,
69001,69001,Heroica Ciudad de Huajuapan de Le�n
69001,69001,
69251,69251,
69251,69251,Mariscala de Ju�rez
69413,69413,
69511,69511,
69511,69511,Villa de Tamazul�pam del Progreso
69601,69601,
69601,69601,Asunci�n Nochixtl�n
69701,69701,Santiago Juxtlahuaca
69701,69701,
69701,69701,San Sebasti�n Tecomaxtlahuaca
69801,69801,
69801,69801,Heroica Ciudad de Tlaxiaco
70001,70001,Juchit�n (Juchit�n de Zaragoza)
70001,70001,
70111,70111,Ciudad Ixtepec
70111,70111,
70151,70151,
70151,70151,Uni�n Hidalgo
70162,70162,
70176,70176,San Francisco Ixhuat�n
70176,70176,
70181,70181,San Pedro Tapanatepec
70181,70181,
70191,70191,Chahuites
70191,70191,
70214,70214,
70285,70285,
70301,70301,
70301,70301,Mat�as Romero Avenda�o
70316,70316,
70381,70381,
70381,70381,Lagunas
70401,70401,Tlacolula de Matamoros
70401,70401,
70401,70401,San Pedro Totol�pam
70438,70438,San Pablo Villa de Mitla
70438,70438,
70501,70501,
70535,70535,
70535,70535,El Camar�n
70601,70601,Salina Cruz
70601,70601,
70712,70712,
70761,70761,
70761,70761,Santo Domingo Tehuantepec
70761,70761,San Blas Atempa
70804,70804,
70804,70804,Miahuatl�n de Porfirio D�az
70901,70901,San Pedro Pochutla
70901,70901,
70983,70983,
70983,70983,Santa Mar�a Huatulco
70986,70986,
70986,70986,Bahias de Huatulco
71008,71008,
71008,71008,Putla Villa de Guerrero
71102,71102,
71102,71102,San Miguel el Grande
71102,71102,Santa Cruz Itundujia
71201,71201,
71201,71201,Zimatl�n de �lvarez
71311,71311,
71311,71311,Villa de Zaachila
71311,71311,Cuil�pam de Guerrero
71411,71411,
